,track_x,track_y,dist,bpm_inc,key_x,mode_x,instrumentalness_x,speechiness_x,key_y,mode_y,instrumentalness_y,speechiness_y
354,Chris Lake - I Want You.mp3,ODESZA - Loyal.mp3,0.038986737133128425,0.11961634455394868,11,0,0.35100000000000003,0.0712,2,1,0.7809999999999999,0.0745
355,Rufus Du Sol - Underwater (Adam Port Remix).mp3,M83 - Midnight City (Eric Prydz Remix).mp3,0.03902888318866657,0.0761761117136659,11,1,0.785,0.0525,7,1,0.0672,0.141
356,Rufus Du Sol - Brighter.mp3,Childish Gambino - This Is America (remix).mp3,0.039041583545864116,0.05152882120508091,5,0,4.72e-05,0.0475,10,0,0.174,0.0559
357,Kanye West - On Sight.mp3,Beyoncé - Crazy In Love.mp3,0.039071010089298634,0.03391317501134458,9,0,0.0,0.325,2,0,0.0,0.226
358,Beyoncé - Drunk in Love.mp3,Drake - Get It Together.mp3,0.03915109126566309,0.1383534805830372,5,0,0.00104,0.0468,5,0,0.391,0.0514
359,James Blake  - Limit To Your Love (Club remix).mp3,Jack U - Mind (Malaa remix).mp3,0.03920671359534317,0.0,10,0,0.242,0.096,6,1,0.0197,0.0538
360,RL Grime - Pressure (Valentino Khan Remix).mp3,Kanye West - Father Stretch My Hands Pt. 1.mp3,0.03922246129132509,0.1142826825127335,2,1,0.284,0.174,7,1,0.0,0.0549
361,Four Tet - Planet.mp3,Tchami - Missing You.mp3,0.03929885192551475,0.00010237590858634179,0,1,0.862,0.0747,8,1,0.00899,0.0564
362,Skrillex - Midnight Hour.mp3,Kid Cudi - Pursuit of Happiness.mp3,0.03931582098725333,0.092828578120527,0,1,0.000392,0.0685,0,1,9.29e-05,0.0414
363,What So Not - Goh (AC Slater Remix).mp3,Four Tet - Only Human.mp3,0.03943067530648135,0.017324693895227648,6,1,0.92,0.062,10,0,0.138,0.0691
364,Zhu - Faded.mp3,Justice - Genesis.mp3,0.039444116113988105,0.0676946734441074,9,0,0.175,0.049,9,1,0.366,0.384
365,Justin Bieber - Yummy (Dance remix).wav,Virtual Self - Ghost Voices (Lane 8 Remix).mp3,0.039458575507479735,0.00038109756097560977,9,0,0.0,0.0897,2,1,0.815,0.0317
366,"Daft Punk - Harder, Better, Faster, Stronger.mp3",Schoolboy Q - 5200.mp3,0.03951056700120805,0.03656610649929136,6,0,0.00263,0.14400000000000002,4,1,0.0,0.413
367,Four Tet - Baby.mp3,Shiba San - Okay.mp3,0.03953158531330137,0.03291415007681859,0,1,0.00325,0.248,2,1,0.866,0.0414
368,Justice - D.A.N.C.E.mp3,What So Not - Goh (AC Slater Remix).mp3,0.039538280801652594,0.14320416581869672,6,0,0.0,0.278,6,1,0.92,0.062
369,Justice - D.A.N.C.E.mp3,Kanye West - Father Stretch My Hands Pt. 1.mp3,0.03959573796091728,0.0006459319559349935,6,0,0.0,0.278,7,1,0.0,0.0549
370,Zhu - My Life (Kyle Watson Remix).mp3,Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,0.039625459688462365,0.0002347217480369826,5,0,0.789,0.0985,6,0,0.00417,0.21
371,Mr. Carmack - Pay For What.mp3,ALICE DEEJAY - Better Off Alone.mp3,0.039646101241977115,0.08080815456284597,11,0,0.00801,0.244,8,0,0.769,0.0565
372,Caribou - Can't Do Without You (Tale Of Us Remix).mp3,Four Tet - Baby.mp3,0.03965425328704518,0.016788273810460774,9,0,0.82,0.0368,0,1,0.00325,0.248
373,Dog Blood - BREAK LAW.mp3,Justin Martin - Don't Go (Dusky Remix).mp3,0.03967772358609302,0.13961886771487309,2,1,0.00205,0.0373,9,0,0.92,0.0595
374,Hot Since 82 - Veins.mp3,Chris Lake - I Want You.mp3,0.03972885102532603,0.008137162396470944,9,0,0.726,0.0547,11,0,0.35100000000000003,0.0712
375,Hot Since 82 - Veins.mp3,Justice - D.A.N.C.E.mp3,0.03991104808150133,0.09719063841083038,9,0,0.726,0.0547,6,0,0.0,0.278
376,Chris Lake - Y.O.D.O.mp3,Virtual Self - Ghost Voices (Lane 8 Remix).mp3,0.03993351721259171,0.008317073170731677,9,0,0.8959999999999999,0.0616,2,1,0.815,0.0317
377,RL Grime - Pressure (Valentino Khan Remix).mp3,Justice - Genesis.mp3,0.03995343175169338,0.07651958481055908,2,1,0.284,0.174,9,1,0.366,0.384
378,ODESZA - Say My Name (feat. Zyra).mp3,Virtual Self - Ghost Voices (Lane 8 Remix).mp3,0.04009717660509572,0.06911897642723049,6,0,0.395,0.0479,2,1,0.815,0.0317
379,Dillon Francis - Need You.mp3,Disclosure - When A Fire Starts To Burn.mp3,0.04009982857496697,0.107064066951885,4,0,0.0545,0.196,7,1,0.00134,0.231
380,Claptone - Cream.mp3,Beyonce - Formation.mp3,0.040148584950121184,0.016324047763880467,1,1,0.911,0.0586,5,0,0.0,0.237
381,Dillon Francis - Need You.mp3,Chris Lake - I Want You.mp3,0.04021233017807595,0.11653164941363507,4,0,0.0545,0.196,11,0,0.35100000000000003,0.0712
382,Dillon Francis - EDM O'CLOCK.mp3,Disclosure - Holding On.mp3,0.04033487542499156,0.0077785396825396065,1,1,0.124,0.109,5,1,0.000246,0.333
383,Flume - Never Be Like You (Disclosure Remix).mp3,Four Tet - Baby.mp3,0.04036368387391424,0.059024536604880724,2,1,0.000925,0.23,0,1,0.00325,0.248
384,Skrillex - Midnight Hour.mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.040391780368817375,0.016264744637952824,0,1,0.000392,0.0685,11,0,0.7170000000000001,0.0594
385,Beyonce - Formation.mp3,James Blake  - Limit To Your Love (Club remix).mp3,0.0405183638560864,0.00886210091336923,5,0,0.0,0.237,10,0,0.242,0.096
386,FISHER - You Little Beauty.mp3,Beyoncé - Drunk in Love.mp3,0.04058071107209215,0.1293925976110398,6,0,0.452,0.0924,5,0,0.00104,0.0468
387,Seven Lions - Strangers.mp3,FISHER - You Little Beauty.mp3,0.040622933979664856,0.048230862913047366,0,0,1.6e-06,0.0394,6,0,0.452,0.0924
388,What So Not - Goh (AC Slater Remix).mp3,Snoop Dogg - Drop It LIke It's Hot (DEL30 remix).wav,0.04068187248255295,0.0500000004063493,6,1,0.92,0.062,1,1,0.0,0.219
389,Skrillex - Midnight Hour.mp3,What So Not - Goh (AC Slater Remix).mp3,0.04074009317979397,0.02556969312102127,0,1,0.000392,0.0685,6,1,0.92,0.062
390,Justice - D.A.N.C.E.mp3,Disclosure - When A Fire Starts To Burn.mp3,0.04075802968060509,0.0967393708799716,6,0,0.0,0.278,7,1,0.00134,0.231
391,Zhu - Exhale.mp3,Kodak Black - Patty Cake.mp3,0.040769897687253115,0.08650212522770281,8,0,0.0807,0.124,1,0,0.0,0.19
392,Hannah Wants  - Rhymes.mp3,A$AP Ferg - Work (DJZA Tech House Remix).wav,0.040792366407278034,0.02391060317460309,5,1,0.00315,0.0766,1,1,0.0,0.142
393,Ekali - Unfaith.mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.04093648699679111,0.031423059198450294,4,0,0.231,0.101,11,0,0.7170000000000001,0.0594
394,"Daft Punk - Harder, Better, Faster, Stronger.mp3",Yaeji - raingurl.mp3,0.04094623339943528,0.03676047782952027,6,0,0.00263,0.14400000000000002,6,0,0.00353,0.0506
395,A$AP Ferg - Work (DJZA Tech House Remix).wav,Seven Lions - Strangers.mp3,0.041086790886477466,0.05623974603174613,1,1,0.0,0.142,0,0,1.6e-06,0.0394
396,Dog Blood - TURN OFF THE LIGHTS.mp3,Zhu - My Life (Kyle Watson Remix).mp3,0.04112463988103155,0.04071761855988578,11,0,0.7170000000000001,0.0594,5,0,0.789,0.0985
397,Rufus Du Sol - Underwater (Adam Port Remix).mp3,Daft Punk - One More Time (Capital People Remix).mp3,0.041130698828268274,0.04262875372830798,11,1,0.785,0.0525,2,1,0.0,0.133
398,Beyonce - Formation.mp3,Denzel Curry - SPEEDBOAT.mp3,0.041182704631722224,0.01620549737129342,5,0,0.0,0.237,6,1,0.0,0.131
399,Daft Punk - One More Time (Capital People Remix).mp3,ODESZA - Bloom (Lane 8 Remix).mp3,0.04121714299136843,0.015840507936508014,2,1,0.0,0.133,2,1,0.904,0.0437
400,Ginuwine - Pony.mp3,Four Tet - Only Human.mp3,0.041233281255460316,0.1183080181733715,8,0,0.0381,0.086,10,0,0.138,0.0691
401,Caribou - Can't Do Without You (Tale Of Us Remix).mp3,The Weeknd - Snowchild.mp3,0.04124814588347549,0.14581188164273926,9,0,0.82,0.0368,0,1,6.929999999999999e-05,0.112
402,What So Not - Goh (AC Slater Remix).mp3,James Blake  - Limit To Your Love (Club remix).mp3,0.04126517986707125,0.0500000004063493,6,1,0.92,0.062,10,0,0.242,0.096
403,Bicep - Just.mp3,Justin Martin - Don't Go (Dusky Remix).mp3,0.0413230648814843,0.025582906951550747,7,1,0.669,0.0599,9,0,0.92,0.0595
404,Love Regenerator - CP-1.mp3,Oliver Huntemann - Rotlicht.mp3,0.04135673293044075,0.03220941766598656,10,0,0.147,0.0553,10,0,0.901,0.0743
405,Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,Tchami - Missing You.mp3,0.04142555508841307,0.032094476190476263,6,0,0.00417,0.21,8,1,0.00899,0.0564
406,Chris Lake - I Want You.mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.041464372621233814,0.024150454370920414,11,0,0.35100000000000003,0.0712,11,0,0.7170000000000001,0.0594
407,Tchami - Prophecy.mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.041485483484978936,0.01593803174603171,11,1,0.772,0.0487,9,1,0.0,0.0619
408,Kodak Black - Patty Cake.mp3,ALICE DEEJAY - Better Off Alone.mp3,0.04150863105864151,0.11054806723425373,1,0,0.0,0.19,8,0,0.769,0.0565
409,What So Not - Goh (AC Slater Remix).mp3,FISHER - You Little Beauty.mp3,0.04154831007655183,0.04203842983538599,6,1,0.92,0.062,6,0,0.452,0.0924
410,Justin Martin - Don't Go (Dusky Remix).mp3,What So Not - Goh (AC Slater Remix).mp3,0.0415671579555908,0.0497856441757671,9,0,0.92,0.0595,6,1,0.92,0.062
411,Travis Scott - goosebumps.m4a,Caribou - Can't Do Without You (Tale Of Us Remix).mp3,0.041577172826098296,0.006577293639177912,7,1,0.0,0.0484,9,0,0.82,0.0368
412,Kanye West - Father Stretch My Hands Pt. 1.mp3,Chrome Sparks - Wake.mp3,0.04168397174316215,0.06109401528013601,7,1,0.0,0.0549,6,0,0.48,0.0409
413,Beyoncé - Drunk in Love.mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.041700618091867266,0.1380215873015873,5,0,0.00104,0.0468,9,1,0.0,0.0619
414,Jack U - Mind (Malaa remix).mp3,Bonobo - Bambro Koyo Ganda.mp3,0.04178723176017075,0.06517490780657573,6,1,0.0197,0.0538,1,1,0.334,0.0572
415,Dog Blood - TURN OFF THE LIGHTS.mp3,Dillon Francis - Need You.mp3,0.04179116127800664,0.1434963960664876,11,0,0.7170000000000001,0.0594,4,0,0.0545,0.196
416,Skrillex - Midnight Hour.mp3,Disclosure - Holding On.mp3,0.041807892204134216,0.015918841327699138,0,1,0.000392,0.0685,5,1,0.000246,0.333
417,Tchami - Missing You.mp3,Daft Punk - Aerodynamic.mp3,0.04181856600696053,0.03331109339148272,8,1,0.00899,0.0564,7,1,0.861,0.0524
418,FISHER - You Little Beauty.mp3,Skrillex - Midnight Hour.mp3,0.04183653714563367,0.016058135127069655,6,0,0.452,0.0924,0,1,0.000392,0.0685
419,Four Tet - Baby.mp3,What So Not - Goh (AC Slater Remix).mp3,0.0418503760499624,0.016788273810460774,0,1,0.00325,0.248,6,1,0.92,0.062
420,Kanye West - Father Stretch My Hands Pt. 1.mp3,The xx - Tides (Dixon Remix).mp3,0.04189425058373582,0.07878820033955855,7,1,0.0,0.0549,4,0,0.8170000000000001,0.0513
421,Jack U - Mind (Malaa remix).mp3,A$AP Ferg - Work (DJZA Tech House Remix).wav,0.04192067053851061,0.0,6,1,0.0197,0.0538,1,1,0.0,0.142
422,Kanye West - Father Stretch My Hands Pt. 1.mp3,Porter Robinson - Easy.m4a,0.04202820189014602,0.1317558007923034,7,1,0.0,0.0549,2,1,0.0,0.0426
423,Kendrick Lamar – HUMBLE (Skrillex Remix).mp3,Flume - The Difference.mp3,0.04208904675168212,0.06619386918529092,11,1,8.23e-05,0.272,1,1,0.000153,0.0909
424,Travis Scott - goosebumps.m4a,Schoolboy Q - 5200.mp3,0.04215673385972677,0.016087194312055717,7,1,0.0,0.0484,4,1,0.0,0.413
425,Daft Punk - One More Time (Capital People Remix).mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.04221400131034258,0.0,2,1,0.0,0.133,9,1,0.0,0.0619
426,Dog Blood - TURN OFF THE LIGHTS.mp3,Daft Punk - Aerodynamic.mp3,0.042228247128759264,0.04169989097004129,11,0,0.7170000000000001,0.0594,7,1,0.861,0.0524
427,ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,Tchami - Missing You.mp3,0.042232997417194065,0.05833527784259475,10,1,0.861,0.0315,8,1,0.00899,0.0564
428,Travis Scott - SICKO MODE.mp3,Ginuwine - Pony.mp3,0.04226260892727618,0.09142116825325283,8,1,0.0,0.222,8,0,0.0381,0.086
429,Ginuwine - Pony.mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.04233171087241533,0.10932850101931613,8,0,0.0381,0.086,11,0,0.7170000000000001,0.0594
430,Flume - The Difference.mp3,RL Grime - Tell Me.mp3,0.042348212579325986,0.14215535769112672,1,1,0.000153,0.0909,5,0,0.489,0.0512
431,Chris Lake - Y.O.D.O.mp3,The xx - Tides (Dixon Remix).mp3,0.04236343928949543,0.016598632764471596,9,0,0.8959999999999999,0.0616,4,0,0.8170000000000001,0.0513
432,Kanye West - On Sight.mp3,Drake - Nice For What.mp3,0.042424620177614634,0.09780071524937364,9,0,0.0,0.325,8,1,0.000109,0.0705
433,Travis Scott - goosebumps.m4a,Dillon Francis - Masta Blasta (THE REBIRTH).mp3,0.04243890834190837,0.11489515490315196,7,1,0.0,0.0484,7,1,0.119,0.414
