track_x,track_y,dist,bpm_inc
Disclosure - When A Fire Starts To Burn.mp3,What So Not - Goh (AC Slater Remix).mp3,0.007910048223668035,0.042366305224771826
What So Not - Goh (AC Slater Remix).mp3,Disclosure - When A Fire Starts To Burn.mp3,0.007910048223668035,0.042366305224771826
Backstreet Boys - I Want It That Way.mp3,Justice - D.A.N.C.E.mp3,0.009291379286131937,0.14120830850945656
Justice - D.A.N.C.E.mp3,Backstreet Boys - I Want It That Way.mp3,0.009291379286131937,0.14120830850945656
J Balvin - Mi Gente.mp3,Dillon Francis - Need You.mp3,0.009651855532429159,0.06671176364104074
Dillon Francis - Need You.mp3,J Balvin - Mi Gente.mp3,0.009651855532429159,0.06671176364104074
Justice - D.A.N.C.E.mp3,"Daft Punk - Harder, Better, Faster, Stronger.mp3",0.011667778843822434,0.09255408574083081
"Daft Punk - Harder, Better, Faster, Stronger.mp3",Justice - D.A.N.C.E.mp3,0.011667778843822434,0.09255408574083081
RL Grime - Pressure (Valentino Khan Remix).mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.012140667601870337,0.02409752380952381
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.012140667601870337,0.02409752380952381
Claptone - Cream.mp3,Disclosure - Omen (Jonas Rathsman Remix).mp3,0.01220184119162969,0.033314723307806965
Disclosure - Omen (Jonas Rathsman Remix).mp3,Claptone - Cream.mp3,0.01220184119162969,0.033314723307806965
Beyonce - Formation.mp3,Dillon Francis - EDM O'CLOCK.mp3,0.012490718945245286,0.008862100913369232
Dillon Francis - EDM O'CLOCK.mp3,Beyonce - Formation.mp3,0.012490718945245286,0.008862100913369232
Four Tet - Planet.mp3,Four Tet - Baby.mp3,0.012651338668948903,0.0006536308009734581
Four Tet - Baby.mp3,Four Tet - Planet.mp3,0.012651338668948903,0.0006536308009734581
Kendrick Lamar - HUMBLE (Skrillex Remix).mp3,Travis Scott - SICKO MODE.mp3,0.013039772584607064,0.03318691719600867
Travis Scott - SICKO MODE.mp3,Kendrick Lamar - HUMBLE (Skrillex Remix).mp3,0.013039772584607064,0.03318691719600867
Four Tet - Baby.mp3,Skrillex - Midnight Hour.mp3,0.013189717133348874,0.008636428582768484
Skrillex - Midnight Hour.mp3,Four Tet - Baby.mp3,0.013189717133348874,0.008636428582768484
ODESZA - Loyal.mp3,Tchami - Prophecy.mp3,0.01337567309521724,0.11961634455394869
Tchami - Prophecy.mp3,ODESZA - Loyal.mp3,0.01337567309521724,0.11961634455394869
FISHER - You Little Beauty.mp3,Backstreet Boys - Everybody (Backstreet's Back).mp3,0.01373428576772077,0.147804593551254
Backstreet Boys - Everybody (Backstreet's Back).mp3,FISHER - You Little Beauty.mp3,0.01373428576772077,0.147804593551254
Denzel Curry - SPEEDBOAT.mp3,Four Tet - Only Human.mp3,0.014062379563894417,0.05813982553053211
Four Tet - Only Human.mp3,Denzel Curry - SPEEDBOAT.mp3,0.014062379563894417,0.05813982553053211
Seven Lions - Strangers.mp3,Drake - Get It Together.mp3,0.014107764184127658,0.05654778840916668
Drake - Get It Together.mp3,Seven Lions - Strangers.mp3,0.014107764184127658,0.05654778840916668
Bicep - Just.mp3,Four Tet - Planet.mp3,0.014248521224242161,0.05817403043282595
Four Tet - Planet.mp3,Bicep - Just.mp3,0.014248521224242161,0.05817403043282595
Getter - Something New.mp3,Backstreet Boys - I Want It That Way.mp3,0.014975333964019254,0.10013664085672701
Backstreet Boys - I Want It That Way.mp3,Getter - Something New.mp3,0.014975333964019254,0.10013664085672701
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Chris Lake - I Want You.mp3,0.014985946914554833,0.01593803174603171
Chris Lake - I Want You.mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.014985946914554833,0.01593803174603171
Skrillex - Midnight Hour.mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.014995726516233446,0.00026988839321156094
RL Grime - Pressure (Valentino Khan Remix).mp3,Skrillex - Midnight Hour.mp3,0.014995726516233446,0.00026988839321156094
Kid Cudi - Pursuit of Happiness.mp3,Jamie xx - SeeSaw (Club Version).mp3,0.015053553853170398,0.08444876254586778
Jamie xx - SeeSaw (Club Version).mp3,Kid Cudi - Pursuit of Happiness.mp3,0.015053553853170398,0.08444876254586778
Kid Cudi - Pursuit of Happiness.mp3,Caribou - Can't Do Without You (Tale Of Us Remix).mp3,0.015167372479944135,0.12077186949695091
Caribou - Can't Do Without You (Tale Of Us Remix).mp3,Kid Cudi - Pursuit of Happiness.mp3,0.015167372479944135,0.12077186949695091
