track,bpm,C,Db,D,Eb,E,F,Gb,G,Ab,A,Bb,B
Caribou - Can't Do Without You (Tale Of Us Remix).mp3,129.1992188,0.22016670100000002,0.010520431,0.119993901,0.007166090999999999,0.160703395,0.08177475099999999,0.015501118000000001,0.07867452700000001,0.013468185,0.173104289,0.00335434,0.11557227099999999
Drake - Passionfruit.mp3,111.98,0.008699029,0.204815534,0.013902913000000001,0.106796117,0.121320388,0.029902913,0.08124271799999999,0.012737864,0.106951456,0.019339806,0.100194175,0.194097087
Drake - Get It Together.mp3,123.01100000000001,0.13409997199999998,0.022628211000000002,0.036075304,0.08800890300000001,0.044050821,0.11425391800000001,0.011221367,0.15756283,0.18677548,0.08717425599999999,0.090049151,0.028099787
T-Pain - I'm Sprung.mp3,99.991,0.17454003,0.008453506,0.092093486,0.247041273,0.023371457,0.213724515,0.019592243,0.05350571900000001,0.051118845999999996,0.012531078999999999,0.071606166,0.032421681
Denzel Curry - SPEEDBOAT.mp3,120.021,0.043505477,0.127177882,0.032446531,0.086802295,0.01950965,0.145852895,0.08753260300000001,0.025665102000000002,0.050704225,0.08054251400000001,0.153781951,0.146478873
Polo & Pan - Zoom Zoom.mp3,94.00299999999999,0.09955157,0.017713003999999997,0.114349776,0.017713003999999997,0.15773542599999998,0.030044842999999998,0.058071749000000006,0.051793722,0.079596413,0.30100896899999996,0.016255605,0.056165919
Schoolboy Q - 5200.mp3,127.99,0.073769593,0.025320618,0.060287186,0.056341116,0.240052614,0.083196317,0.116299463,0.072015784,0.022141839,0.059300669,0.038035734,0.153239066
Getter - Something New.mp3,90.01700000000001,0.028798316,0.16695369300000001,0.030807501,0.007558362,0.12590891699999998,0.008802143,0.240336778,0.009567547,0.106773823,0.101033295,0.00315729,0.17030233399999997
Schoolboy Q - Numb Numb Juice.mp3,156.958,0.143630849,0.105935875,0.20493934100000002,0.08687175,0.11135182,0.08102253,0.023613517999999997,0.024263432,0.056325823,0.06715771200000001,0.03812825,0.056759099
Bad Bunny - Estamos Bien.mp3,119.883,0.176949682,0.007140466,0.163226598,0.021644538999999997,0.28807319,0.030346982,0.04730559,0.095615307,0.008702443,0.113354903,0.00535535,0.042284949
Yaeji - raingurl.mp3,128.014,0.054321229000000006,0.08368405599999999,0.044827249000000007,0.013506899999999999,0.043163355,0.126749535,0.241264559,0.046197514,0.033963003,0.08740334699999999,0.12870705699999999,0.096212195
Dog Blood - BREAK LAW.mp3,107.994,0.015125073000000001,0.041981772,0.12526662800000002,0.034419236,0.10432422,0.08842350199999999,0.06117898,0.034516192,0.105099864,0.248303277,0.10190033,0.039460927
SZA - The Weekend (Funk Wav Remix).mp3,101.925,0.017700311,0.125118227,0.012700986000000001,0.22226726100000002,0.061478179,0.020267531000000002,0.22186191100000002,0.026482908,0.13322524,0.013106337,0.041886232,0.103904878
What So Not - Goh (AC Slater Remix).mp3,129.1992188,0.052965375,0.083561879,0.105330819,0.023568735,0.041738087,0.10473088800000001,0.086818649,0.08930408,0.156324991,0.131127871,0.071906068,0.052622557
Skrillex - Face My Fears.m4a,159.965,0.019232836,0.10067691,0.012356291,0.034060385,0.19351026100000002,0.009132911,0.147201031,0.0053723,0.28881487100000003,0.037928441,0.004512732,0.147201031
Vince Staples - So What.mp3,146.041,0.041292975,0.046524664,0.059043347999999996,0.034566517000000005,0.075859492,0.288303438,0.091741405,0.108183857,0.033258595,0.083893871,0.064835575,0.07249626299999999
Skrillex - Mumbai Power.mp3,140.151,0.06883586400000001,0.009544469,0.064642082,0.280694143,0.036297903,0.1835141,0.009544469,0.165003615,0.035285611,0.04526391900000001,0.09356471400000001,0.007809111
M83 - Midnight City (Eric Prydz Remix).mp3,127.006,0.018384075,0.019964871000000002,0.31094847800000003,0.011299766000000001,0.09519906300000001,0.009192037,0.08559719,0.052283372,0.01352459,0.19795082,0.006791569,0.178864169
Rufus Du Sol - Innerbloom.mp3,122.015,0.039522834,0.004819858,0.164075993,0.057476804000000006,0.001646785,0.13467486,0.005301844,0.262722416,0.017712976999999998,0.027031369,0.27312527600000003,0.011888983
Tale of Us - Cafe del Mar.mp3,124.99600000000001,0.032548508,0.031468059,0.015081259,0.066582632,0.023904921000000003,0.55503534,0.011749876000000001,0.03795075,0.089632197,0.015576464,0.116958538,0.003511457
Snoop Dogg - Drop It LIke It's Hot (DEL30 remix).wav,123.046875,0.044440055,0.048587794000000004,0.054661268,0.079251432,0.038712226,0.06853644099999999,0.170600435,0.062413589000000005,0.276367766,0.043403120999999996,0.030910527,0.082115347
Kanye West - On Sight.mp3,102.52799999999999,0.052428338,0.036239417999999995,0.105896332,0.022426852999999997,0.019901975,0.11451061900000001,0.083618001,0.060448537000000004,0.047378582999999995,0.07440962400000001,0.27209267800000003,0.11064904199999999
Billie Eilish - Everything I Wanted (Rauschhaus Edit).wav,123.046875,0.031542056,0.08199822,0.027202937000000003,0.010458389,0.047897195999999996,0.091789052,0.383622608,0.062694704,0.128838451,0.095516244,0.013684913,0.024755229
Kanye West - Fade.mp3,105.99799999999999,0.075803447,0.029692594,0.14857941300000002,0.077200745,0.038542152,0.16266884,0.037494177999999996,0.09129017199999999,0.047857475999999996,0.156148114,0.072077317,0.06264555200000001
Beyoncé - Crazy In Love.mp3,99.165,0.06511444400000001,0.066397001,0.188831886,0.024861877999999997,0.056235201,0.079913181,0.03265588,0.102111287,0.048638516,0.13397790099999998,0.135260458,0.06600236799999999
